dataset,model,explainer,k,run_base,false_mean,false_std,true_mean,true_std,ttest_statistic,p_value,interpretation
cicids17,XGBoost,lime,5,runs_5,0.60476,0.2279,0.53233,0.23528,8.83388,0.0,Significant difference
cicids17,XGBoost,lime,5,runs_10,0.5604,0.23347,0.41341,0.21999,18.30617,0.0,Significant difference
cicids17,XGBoost,lime,10,runs_3,0.5859,0.25703,0.50232,0.22751,9.72785,0.0,Significant difference
cicids17,XGBoost,lime,10,runs_5,0.52857,0.26182,0.43496,0.21947,10.94622,0.0,Significant difference
cicids17,XGBoost,lime,10,runs_10,0.47368,0.24596,0.34812,0.18755,16.21756,0.0,Significant difference
cicids17,XGBoost,lime,20,runs_3,0.49828,0.21503,0.44853,0.20596,6.67485,0.0,Significant difference
cicids17,XGBoost,lime,20,runs_5,0.42256,0.22588,0.37312,0.21254,6.36765,0.0,Significant difference
cicids17,XGBoost,lime,20,runs_10,0.36833,0.21404,0.30398,0.18411,9.10551,0.0,Significant difference
cicids17,XGBoost,lime,50,runs_3,0.73054,0.11315,0.70591,0.10616,6.34028,0.0,Significant difference
cicids17,XGBoost,lime,50,runs_5,0.6,0.18804,0.55842,0.17795,6.41618,0.0,Significant difference
cicids17,XGBoost,lime,50,runs_10,0.4588,0.26479,0.39753,0.25187,6.69738,0.0,Significant difference
cicids17,XGBoost,shap,5,runs_3,0.64511,0.2231,0.58509,0.22686,7.53658,0.0,Significant difference
cicids17,XGBoost,shap,5,runs_5,0.60476,0.2279,0.53233,0.23528,8.83388,0.0,Significant difference
cicids17,XGBoost,shap,5,runs_10,0.5604,0.23347,0.41341,0.21999,18.30617,0.0,Significant difference
cicids17,XGBoost,shap,10,runs_3,0.5859,0.25703,0.50232,0.22751,9.72785,0.0,Significant difference
cicids17,XGBoost,shap,10,runs_5,0.52857,0.26182,0.43496,0.21947,10.94622,0.0,Significant difference
cicids17,XGBoost,shap,10,runs_10,0.47368,0.24596,0.34812,0.18755,16.21756,0.0,Significant difference
cicids17,XGBoost,shap,20,runs_3,0.49828,0.21503,0.44853,0.20596,6.67485,0.0,Significant difference
cicids17,XGBoost,shap,20,runs_5,0.42256,0.22588,0.37312,0.21254,6.36765,0.0,Significant difference
cicids17,XGBoost,shap,20,runs_10,0.36833,0.21404,0.30398,0.18411,9.10551,0.0,Significant difference
cicids17,XGBoost,shap,50,runs_3,0.73054,0.11315,0.70591,0.10616,6.34028,0.0,Significant difference
cicids17,XGBoost,shap,50,runs_5,0.6,0.18804,0.55842,0.17795,6.41618,0.0,Significant difference
cicids17,XGBoost,shap,50,runs_10,0.4588,0.26479,0.39753,0.25187,6.69738,0.0,Significant difference
cicids18,CatBoost,lime,5,runs_3,0.5967,0.21352,0.5889,0.20765,1.17118,0.2416,No significant difference
cicids18,CatBoost,lime,5,runs_5,0.5513,0.21944,0.5399,0.21154,1.67265,0.09447,No significant difference
cicids18,CatBoost,lime,5,runs_10,0.493,0.224,0.4744,0.2023,2.75592,0.00588,Significant difference
cicids18,CatBoost,lime,10,runs_3,0.51105,0.23917,0.4964,0.22743,1.98513,0.0472,Significant difference
cicids18,CatBoost,lime,10,runs_5,0.4609,0.23824,0.4484,0.22479,1.70664,0.08797,No significant difference
cicids18,CatBoost,lime,10,runs_10,0.40215,0.22128,0.38985,0.20577,1.8204,0.06877,No significant difference
cicids18,CatBoost,lime,20,runs_3,0.45185,0.22471,0.4454,0.2164,0.92463,0.35521,No significant difference
cicids18,CatBoost,lime,20,runs_5,0.37248,0.22406,0.36528,0.2162,1.03415,0.30113,No significant difference
cicids18,CatBoost,lime,20,runs_10,0.3225,0.20389,0.30888,0.18702,2.20239,0.02769,Significant difference
cicids18,CatBoost,lime,50,runs_3,0.72118,0.09362,0.70706,0.07743,5.19769,0.0,Significant difference
cicids18,CatBoost,lime,50,runs_5,0.57365,0.16169,0.55241,0.1379,4.46981,1e-05,Significant difference
cicids18,CatBoost,lime,50,runs_10,0.40409,0.23557,0.37414,0.20325,4.3049,2e-05,Significant difference
cicids18,CatBoost,shap,5,runs_3,0.5967,0.21352,0.5889,0.20765,1.17118,0.2416,No significant difference
cicids18,CatBoost,shap,5,runs_5,0.5513,0.21944,0.5399,0.21154,1.67265,0.09447,No significant difference
cicids18,CatBoost,shap,5,runs_10,0.493,0.224,0.4744,0.2023,2.75592,0.00588,Significant difference
cicids18,CatBoost,shap,10,runs_3,0.51105,0.23917,0.4964,0.22743,1.98513,0.0472,Significant difference
