dataset,classifier,explainer,threshold,false_mean,false_std,false_var,true_mean,true_std,true_var,ttest_statistic,p_value,interpretation
cicids17,RandomForest,shap,0.7,0.96412,0.02114,0.00044633751479289954,0.97206,0.01855,0.0003437027218934916,-8.92677,0.0,Significant difference
cicids17,RandomForest,shap,0.8,0.97357,0.01132,0.0001279233136094678,0.97906,0.01026,0.00010524946745562161,-11.36838,0.0,Significant difference
cicids17,RandomForest,shap,0.9,0.9788,0.00756,5.706887573964536e-05,0.98238,0.00588,3.455029585798834e-05,-11.83674,0.0,Significant difference
cicids17,XGBoost,lime,0.0,0.01538,0.0,3.009265538105056e-36,0.01538,0.0,3.009265538105056e-36,0.0,1.0,No significant difference
cicids17,XGBoost,lime,0.1,0.2645,0.07086,0.005014276317784038,0.25649,0.0711,0.005047341232546093,2.06641,0.03898,Significant difference
cicids17,XGBoost,lime,0.2,0.47878,0.08809,0.00774749005128908,0.47212,0.08465,0.0071549251885938145,1.41089,0.15851,No significant difference
cicids17,XGBoost,lime,0.3,0.64439,0.09078,0.008228967851724335,0.64652,0.08713,0.0075801882576871015,-0.43929,0.66052,No significant difference
cicids17,XGBoost,lime,0.4,0.76843,0.0787,0.006183934166489815,0.7685,0.07888,0.006212654470296228,-0.016,0.98723,No significant difference
cicids17,XGBoost,lime,0.5,0.85088,0.064,0.004089609709994583,0.8498,0.06357,0.004034714179697644,0.30969,0.75684,No significant difference
cicids17,XGBoost,lime,0.6,0.90487,0.04764,0.0022659787699320236,0.90257,0.0466,0.002168604649630062,0.89186,0.37263,No significant difference
cicids17,XGBoost,lime,0.7,0.93855,0.03472,0.0012039127861531347,0.93699,0.03257,0.0010590432101613282,0.84898,0.39605,No significant difference
cicids17,XGBoost,lime,0.8,0.96119,0.02194,0.000480849308170795,0.95993,0.02218,0.0004911018518640571,1.04777,0.29493,No significant difference
cicids17,XGBoost,lime,0.9,0.97552,0.01253,0.00015682991032649204,0.97442,0.01343,0.00018008201507696033,1.55313,0.12063,No significant difference
cicids17,XGBoost,shap,0.0,0.35956,0.12276,0.01504635209539163,0.34856,0.12472,0.015531941985735018,1.62687,0.104,No significant difference
cicids17,XGBoost,shap,0.1,0.65777,0.12309,0.015127389107627983,0.81626,0.09344,0.008717776128630011,-26.54604,0.0,Significant difference
cicids17,XGBoost,shap,0.2,0.81711,0.07434,0.005518185808570854,0.91887,0.04796,0.002296570314549306,-29.77604,0.0,Significant difference
cicids17,XGBoost,shap,0.3,0.88299,0.04613,0.0021252233928828004,0.9507,0.02777,0.0007697559188074467,-32.55194,0.0,Significant difference
cicids17,XGBoost,shap,0.4,0.91731,0.0323,0.0010417623091818133,0.96202,0.02157,0.0004644853099160211,-29.79495,0.0,Significant difference
cicids17,XGBoost,shap,0.5,0.9394,0.0229,0.0005237096334102691,0.9702,0.01613,0.0002597782086652319,-28.45362,0.0,Significant difference
cicids17,XGBoost,shap,0.6,0.95476,0.01848,0.0003411152310513141,0.97644,0.01214,0.00014725489394852145,-25.37011,0.0,Significant difference
cicids17,XGBoost,shap,0.7,0.9665,0.01405,0.00019707292382035782,0.98018,0.00897,8.033364924911808e-05,-21.25264,0.0,Significant difference
cicids17,XGBoost,shap,0.8,0.97222,0.01069,0.00011402494724118552,0.98163,0.00735,5.39701914344204e-05,-18.78713,0.0,Significant difference
cicids17,XGBoost,shap,0.9,0.97754,0.00891,7.927649573381915e-05,0.98312,0.00493,2.4267077576877746e-05,-14.18305,0.0,Significant difference
cicids18,CatBoost,lime,0.0,0.01587,0.0,0.0,0.01587,0.0,0.0,,,Significant difference
cicids18,CatBoost,lime,0.1,0.42214,0.09732,0.009462578735197784,0.41792,0.08623,0.007428762660619803,1.02681,0.30463,No significant difference
cicids18,CatBoost,lime,0.2,0.69641,0.08922,0.007951656336608718,0.69122,0.08608,0.00740181179138322,1.324,0.18566,No significant difference
cicids18,CatBoost,lime,0.3,0.84195,0.06482,0.004197820861678004,0.83802,0.06531,0.0042607646762408665,1.35284,0.17626,No significant difference
cicids18,CatBoost,lime,0.4,0.9104,0.04108,0.001685808767951625,0.90708,0.0412,0.00169581355505165,1.80313,0.07152,No significant difference
cicids18,CatBoost,lime,0.5,0.94135,0.02583,0.000666660367850844,0.9391,0.02745,0.0007529430587049633,1.89081,0.05879,No significant difference
cicids18,CatBoost,lime,0.6,0.95711,0.01799,0.0003233046107331824,0.95616,0.01732,0.00029966137566137587,1.20604,0.22795,No significant difference
cicids18,CatBoost,lime,0.7,0.9667,0.01414,0.00019964625850340135,0.96589,0.01339,0.00017908767951625091,1.31476,0.18874,No significant difference
cicids18,CatBoost,lime,0.8,0.97429,0.01131,0.0001278911564625847,0.97435,0.01094,0.00011956261022927655,-0.12757,0.8985,No significant difference
cicids18,CatBoost,lime,0.9,0.97975,0.00806,6.495943562610199e-05,0.97989,0.00764,5.838019652305335e-05,-0.40657,0.68437,No significant difference
cicids18,CatBoost,shap,0.0,0.33062,0.16581,0.02746680750818846,0.26368,0.13546,0.01832992088687327,9.88618,0.0,Significant difference
cicids18,CatBoost,shap,0.1,0.81475,0.10496,0.01100497833207357,0.82943,0.08588,0.007367972789115646,-3.42369,0.00063,Significant difference
cicids18,CatBoost,shap,0.2,0.90276,0.05864,0.0034346495338876295,0.91708,0.04455,0.001982822877299067,-6.14823,0.0,Significant difference
cicids18,CatBoost,shap,0.3,0.93544,0.03983,0.0015849108087679516,0.94067,0.03387,0.0011457183169564127,-3.15869,0.00161,Significant difference
cicids18,CatBoost,shap,0.4,0.95298,0.02681,0.000718205089443185,0.95397,0.02391,0.0005709246661627616,-0.86633,0.38641,No significant difference
cicids18,CatBoost,shap,0.5,0.95984,0.01845,0.00033990929705215447,0.9626,0.01683,0.00028300932224741747,-3.49765,0.00048,Significant difference
cicids18,CatBoost,shap,0.6,0.966,0.01549,0.00023981758629377663,0.97186,0.01472,0.0002165459813555048,-8.66589,0.0,Significant difference
cicids18,CatBoost,shap,0.7,0.97203,0.01367,0.0001867865961199291,0.97871,0.01157,0.00013371604938271572,-11.798,0.0,Significant difference
cicids18,CatBoost,shap,0.8,0.9751,0.01111,0.00012326505416981564,0.98137,0.00758,5.737566137566118e-05,-14.74455,0.0,Significant difference
cicids18,CatBoost,shap,0.9,0.98206,0.00617,3.807004283194743e-05,0.9831,0.0044,1.9343663391282355e-05,-4.30376,2e-05,Significant difference
cicids18,RandomForest,lime,0.0,0.01587,0.0,0.0,0.01587,0.0,0.0,,,Significant difference
cicids18,RandomForest,lime,0.1,0.63313,0.04253,0.0018070624842529601,0.6299,0.03927,0.0015404746787603927,1.76025,0.07852,No significant difference
